title,description,prep_time,cook_time,servings,difficulty,protein_type,ingredients,instructions,tags
Spaghetti Aglio e Olio,"A simple, traditional Italian pasta dish with garlic, olive oil, and red pepper flakes.",5 min,15 min,4,Easy,Vegan,"1 lb spaghetti|1/2 cup good quality olive oil|6-8 cloves garlic, thinly sliced|1/2 tsp red pepper flakes, or to taste|Salt to taste|1/4 cup chopped fresh parsley","1. Cook spaghetti in a large pot of well-salted water according to package directions until al dente.|2. While the pasta is cooking, heat the olive oil in a large skillet over medium-low heat. Add the sliced garlic and red pepper flakes.|3. Cook slowly, stirring occasionally, until the garlic turns a light golden brown. Do not let it burn or it will become bitter. Remove from heat if it's cooking too quickly.|4. Reserve about 1 cup of the pasta water, then drain the pasta.|5. Add the drained spaghetti directly to the skillet with the garlic and oil. Toss well to coat.|6. Add a few tablespoons of the reserved pasta water to the pan to help create a light sauce that clings to the pasta. Toss everything together.|7. Stir in the fresh parsley and season with salt. Serve immediately.","italian,pasta,vegan,quick,weeknight"
Chicken Quesadillas,"Cheesy, crispy tortillas filled with seasoned chicken and melted cheese.",10 min,10 min,4,Easy,Chicken,"2 cups cooked, shredded chicken|1 tsp chili powder|1/2 tsp cumin|1/2 tsp salt|8 large flour tortillas|2 cups shredded Monterey Jack or cheddar cheese|1 tbsp vegetable oil or butter|Sour cream, salsa, and guacamole for serving","1. In a bowl, toss the shredded chicken with the chili powder, cumin, and salt.|2. Heat a large skillet or griddle over medium heat. Lightly grease with oil or butter.|3. Place one tortilla in the skillet. Sprinkle half of the tortilla with a layer of cheese, then a layer of the seasoned chicken, then another layer of cheese.|4. Fold the other half of the tortilla over the filling.|5. Cook for 2-3 minutes per side, until the tortilla is golden brown and crispy, and the cheese is fully melted.|6. Remove from the skillet and cut into wedges.|7. Repeat with the remaining tortillas and filling.|8. Serve hot with sour cream, salsa, and guacamole.","mexican,chicken,quick,lunch,snack"
Creamy Tomato Soup,"A rich and velvety tomato soup, perfect for pairing with a grilled cheese sandwich.",10 min,30 min,6,Easy,Vegetarian,"2 tbsp olive oil|1 large onion, chopped|2 carrots, chopped|2 cloves garlic, minced|1 (28 oz) can crushed tomatoes|4 cups vegetable broth|1 tsp dried basil|1/2 cup heavy cream|Salt and pepper to taste","1. Heat olive oil in a large pot or Dutch oven over medium heat. Add the onion and carrots and cook until softened, about 8 minutes.|2. Stir in the garlic and cook for 1 minute more.|3. Add the crushed tomatoes, vegetable broth, and dried basil. Bring to a simmer.|4. Reduce heat, cover, and let it cook for 15-20 minutes to allow the flavors to meld.|5. Use an immersion blender to blend the soup until it's smooth and creamy. Alternatively, carefully transfer the soup in batches to a regular blender and blend until smooth.|6. Return the soup to the pot if you used a regular blender. Stir in the heavy cream and heat through gently. Do not let it boil.|7. Season with salt and pepper to taste.|8. Serve hot, garnished with fresh basil or croutons.","american,soup,vegetarian,comfort food,classic"
Blackened Fish Tacos,"Spicy, flavorful fish tacos with a cool and creamy slaw.",20 min,10 min,4,Easy,Fish,"1.5 lbs firm white fish fillets (like tilapia or cod)|2 tbsp olive oil|2 tbsp blackened seasoning|8-12 corn tortillas|For the slaw: 2 cups shredded cabbage, 1/4 cup mayonnaise, 2 tbsp lime juice, 1 tbsp chopped cilantro, salt and pepper","1. Make the slaw: In a bowl, combine the shredded cabbage, mayonnaise, lime juice, cilantro, salt, and pepper. Mix well and set aside.|2. Pat the fish fillets dry and rub them all over with the blackened seasoning.|3. Heat olive oil in a large skillet over medium-high heat. Carefully place the fish in the skillet and cook for 3-4 minutes per side, until the seasoning is dark and the fish is cooked through and flakes easily.|4. Remove the fish from the skillet and break it into large chunks.|5. Warm the corn tortillas in a dry skillet or in the microwave.|6. Assemble the tacos: Fill each warm tortilla with a portion of the blackened fish and top with the creamy slaw. Serve with lime wedges.","mexican,seafood,tacos,spicy,quick"
Sausage and Peppers,"A classic Italian-American dish of savory sausage, sweet bell peppers, and onions.",10 min,25 min,4,Easy,Pork,"1.5 lbs sweet or hot Italian sausage|1 tbsp olive oil|2 large bell peppers (any color), sliced|1 large onion, sliced|3 cloves garlic, minced|1/2 cup water or chicken broth|Salt and pepper to taste|Hoagie rolls for serving (optional)","1. Heat a large skillet over medium-high heat. Add the sausages and cook, turning occasionally, until browned on all sides. Remove the sausages from the skillet and set aside.|2. Add the olive oil to the same skillet. Add the sliced peppers and onions. Cook, stirring occasionally, for 10-12 minutes, until they are soft and lightly caramelized.|3. Stir in the minced garlic and cook for 1 minute more.|4. Return the sausages to the skillet. Add the water or broth, bring to a simmer, then reduce heat to low, cover, and cook for 10 minutes, or until the sausages are cooked through.|5. Season with salt and pepper to taste.|6. Serve the sausage and peppers on their own or in hoagie rolls.","italian-american,pork,one-pan,weeknight"
Mongolian Beef,"Tender, crispy slices of beef in a sweet and savory sauce, better than takeout.",15 min,15 min,4,Medium,Beef,"1 lb flank steak, thinly sliced against the grain|1/4 cup cornstarch|Vegetable oil for frying|3 cloves garlic, minced|1 tsp minced ginger|1/2 cup soy sauce|1/2 cup water|3/4 cup brown sugar|4 green onions, chopped into 2-inch pieces|Cooked rice for serving","1. Place the sliced steak in a bowl and toss with cornstarch until evenly coated.|2. Heat about 1 inch of vegetable oil in a wok or large, deep skillet to 350°F (175°C).|3. Carefully add the steak in a single layer (work in batches) and fry for 1-2 minutes until crispy and lightly browned. Remove with a slotted spoon and drain on paper towels.|4. Drain most of the oil from the skillet, leaving about 1 tablespoon. Heat over medium heat and add the garlic and ginger. Cook for 30 seconds until fragrant.|5. Add the soy sauce, water, and brown sugar. Bring to a boil, stirring to dissolve the sugar. Let the sauce simmer and thicken for 2-3 minutes.|6. Return the crispy beef to the skillet and add the green onions. Toss everything to coat in the sauce.|7. Serve immediately over rice.","asian,chinese,beef,takeout"
Simple Minestrone Soup,"A hearty Italian vegetable soup made with beans, pasta, and a tomato-based broth.",20 min,40 min,8,Easy,Vegan,"2 tbsp olive oil|1 large onion, chopped|2 carrots, chopped|2 celery stalks, chopped|3 cloves garlic, minced|1 (28 oz) can diced tomatoes|6 cups vegetable broth|1 (15 oz) can kidney beans, rinsed|1 (15 oz) can cannellini beans, rinsed|1 tsp dried oregano|1 tsp dried basil|1 cup small pasta (like ditalini or small shells)|2 cups chopped spinach|Salt and pepper to taste","1. Heat olive oil in a large pot or Dutch oven over medium heat. Add onion, carrots, and celery. Cook until softened, about 8-10 minutes.|2. Stir in garlic and cook for 1 minute.|3. Add the diced tomatoes, vegetable broth, kidney beans, cannellini beans, oregano, and basil. Bring to a boil.|4. Reduce heat and simmer for 15 minutes.|5. Stir in the uncooked pasta and cook for about 8-10 minutes, or until the pasta is al dente.|6. Stir in the spinach and cook until wilted.|7. Season generously with salt and pepper to taste.|8. Serve hot, with a sprinkle of Parmesan cheese if not serving vegan.","italian,soup,vegan,healthy,vegetable"
Classic Pot Roast,"A tender, fall-apart beef roast cooked low and slow with potatoes and carrots.",20 min,3.5 hours,6,Easy,Beef,"3 lb beef chuck roast|2 tbsp olive oil|Salt and pepper|1 large onion, chopped|2 carrots, cut into chunks|2 celery stalks, cut into chunks|4 cloves garlic, minced|1 cup beef broth|1/2 cup dry red wine|1 tbsp tomato paste|1 tsp dried thyme|1 bay leaf|1.5 lbs baby potatoes","1. Preheat oven to 325°F (160°C). Pat the chuck roast dry and season generously with salt and pepper.|2. Heat olive oil in a large Dutch oven over medium-high heat. Sear the roast on all sides until deeply browned. Remove the roast and set aside.|3. Add the onion, carrots, and celery to the pot and cook until softened, about 5-7 minutes.|4. Stir in the garlic and cook for 1 minute.|5. Stir in the tomato paste, then pour in the red wine to deglaze the pot, scraping up any browned bits from the bottom.|6. Bring to a simmer and cook for a few minutes until the wine has reduced slightly.|7. Stir in the beef broth, thyme, and bay leaf. Return the roast to the pot.|8. Cover the Dutch oven and transfer it to the preheated oven. Cook for 2 hours.|9. Add the potatoes to the pot around the roast. Cover and continue to cook for another 1-1.5 hours, or until the roast and potatoes are fork-tender.|10. Let the roast rest for a few minutes before slicing or shredding. Serve with the vegetables and pan juices.","american,beef,roast,comfort food,slow-cook"
Thai Red Curry Noodles,"Creamy, spicy, and savory coconut curry noodles with chicken and vegetables.",15 min,20 min,4,Medium,Chicken,"8 oz rice noodles|1 tbsp coconut oil|1 lb boneless, skinless chicken breast, thinly sliced|1 red bell pepper, sliced|1 cup sliced mushrooms|3 cloves garlic, minced|1 inch ginger, grated|2-3 tbsp red curry paste|1 (13.5 oz) can full-fat coconut milk|1 cup chicken broth|1 tbsp fish sauce|1 tbsp brown sugar|Juice of 1 lime|Fresh cilantro and lime wedges for garnish","1. Cook rice noodles according to package directions. Drain and set aside.|2. Heat coconut oil in a large skillet or wok over medium-high heat. Add the chicken and cook until no longer pink. Remove and set aside.|3. Add the bell pepper and mushrooms to the skillet and cook until softened.|4. Stir in the garlic, ginger, and red curry paste. Cook for 1 minute until fragrant.|5. Whisk in the coconut milk and chicken broth. Bring to a simmer.|6. Stir in the fish sauce and brown sugar. Let the sauce simmer for 5 minutes to thicken slightly.|7. Return the cooked chicken to the skillet. Add the cooked rice noodles and toss everything together to coat in the sauce.|8. Stir in the lime juice.|9. Serve immediately, garnished with fresh cilantro and lime wedges.","asian,thai,curry,noodles,spicy,weeknight"
Lemon Chicken Piccata,"A classic Italian dish of pan-fried chicken cutlets in a bright lemon-butter and caper sauce.",10 min,15 min,4,Easy,Chicken,"4 thin-sliced chicken breasts (cutlets)|1/2 cup all-purpose flour|Salt and pepper|4 tbsp butter, divided|2 tbsp olive oil|1/2 cup chicken broth|1/4 cup fresh lemon juice|2 tbsp capers, drained|2 tbsp fresh parsley, chopped","1. Season the flour with salt and pepper in a shallow dish. Dredge the chicken cutlets in the flour, shaking off any excess.|2. In a large skillet, melt 2 tablespoons of butter with the olive oil over medium-high heat.|3. Add the chicken to the skillet and cook for 3-4 minutes per side, until golden brown and cooked through. Transfer the chicken to a plate.|4. Reduce the heat to medium. Add the chicken broth and lemon juice to the skillet, scraping up any browned bits from the bottom of the pan.|5. Bring the sauce to a simmer and cook until it has reduced by about half.|6. Stir in the remaining 2 tablespoons of butter, the capers, and the parsley. Swirl the pan until the butter is melted and the sauce is smooth.|7. Return the chicken to the pan and spoon the sauce over it.|8. Serve immediately, often with pasta or mashed potatoes.","italian,chicken,quick,weeknight"
Honey Garlic Glazed Salmon,"A sweet and savory salmon dish with a sticky honey garlic glaze, ready in under 20 minutes.",5 min,12 min,4,Easy,Fish,"4 (6 oz) salmon fillets|Salt and pepper to taste|1/2 cup honey|1/4 cup soy sauce|2 tbsp lemon juice|3 cloves garlic, minced","1. Preheat oven to 400°F (200°C). Line a baking sheet with foil or parchment paper.|2. Season the salmon fillets with salt and pepper and place them on the prepared baking sheet.|3. In a small bowl, whisk together the honey, soy sauce, lemon juice, and minced garlic.|4. Pour half of the glaze over the salmon fillets, brushing to coat evenly.|5. Bake for 12-15 minutes, or until the salmon is cooked through. During the last 2-3 minutes of baking, you can switch the oven to broil to get a nice caramelization on top (watch carefully to prevent burning).|6. Serve the salmon with the remaining glaze spooned over the top.","seafood,healthy,quick,weeknight,asian-inspired"
Vegetable Lo Mein,"A quick and easy noodle dish packed with vegetables and a savory sauce.",15 min,10 min,4,Easy,Vegetarian,"8 oz lo mein noodles or spaghetti|1 tbsp sesame oil|2 tbsp soy sauce|1 tbsp hoisin sauce|1 tsp brown sugar|1 tbsp vegetable oil|1 carrot, julienned|1 red bell pepper, sliced|2 cups sliced mushrooms|4 green onions, chopped|2 cloves garlic, minced|1 cup bean sprouts","1. Cook the noodles according to package directions. Drain and set aside.|2. In a small bowl, whisk together the sesame oil, soy sauce, hoisin sauce, and brown sugar to make the sauce.|3. Heat the vegetable oil in a wok or large skillet over high heat. Add the carrots, bell pepper, and mushrooms. Stir-fry for 3-4 minutes until tender-crisp.|4. Add the garlic and the white parts of the green onions. Stir-fry for 30 seconds until fragrant.|5. Add the cooked noodles, bean sprouts, and the sauce to the skillet. Toss everything together until the noodles and vegetables are well coated and heated through.|6. Stir in the green parts of the green onions.|7. Serve immediately.","asian,chinese,noodles,vegetarian,quick"
French Onion Soup,"A classic, elegant soup with caramelized onions, a rich beef broth, and a cheesy crouton topping.",15 min,75 min,4,Medium,Beef,"4 tbsp butter|4 large yellow onions, thinly sliced|2 cloves garlic, minced|1 tsp sugar|8 cups beef broth|1/2 cup dry white wine|1 tsp dried thyme|1 bay leaf|Salt and pepper to taste|4 thick slices of French bread, toasted|1.5 cups shredded Gruyère cheese","1. Melt the butter in a large Dutch oven or heavy-bottomed pot over medium-low heat. Add the sliced onions and sugar. Cook slowly, stirring occasionally, for 30-40 minutes, until the onions are deeply caramelized and jammy.|2. Stir in the garlic and cook for 1 minute more.|3. Pour in the white wine to deglaze the pot, scraping up any browned bits. Cook until the wine has mostly evaporated.|4. Add the beef broth, thyme, and bay leaf. Bring to a simmer, then reduce heat, partially cover, and let it simmer for at least 30 minutes.|5. Remove the bay leaf and season the soup with salt and pepper to taste.|6. Preheat the broiler. Ladle the soup into four oven-safe bowls. Top each bowl with a slice of toasted bread and a generous amount of Gruyère cheese.|7. Place the bowls on a baking sheet and broil for 2-3 minutes, until the cheese is melted and bubbly. Watch carefully to prevent burning.|8. Serve immediately.","french,soup,classic,comfort food"
Chicken Fajitas,"Sizzling chicken and peppers cooked in a flavorful spice blend, served with warm tortillas.",15 min,15 min,4,Easy,Chicken,"1.5 lbs boneless, skinless chicken breast, sliced|1 large onion, sliced|2 bell peppers (different colors), sliced|2 tbsp olive oil|For the seasoning: 2 tsp chili powder, 1 tsp cumin, 1 tsp paprika, 1/2 tsp garlic powder, 1/2 tsp salt, 1/4 tsp black pepper|8 flour tortillas|Toppings: sour cream, guacamole, salsa, shredded cheese","1. In a small bowl, mix together the chili powder, cumin, paprika, garlic powder, salt, and pepper.|2. In a large bowl, toss the sliced chicken with half of the seasoning mixture.|3. Heat olive oil in a large cast-iron skillet over medium-high heat. Add the chicken and cook, stirring occasionally, until browned and cooked through. Remove the chicken from the skillet.|4. Add the sliced onions and bell peppers to the same skillet. Sprinkle with the remaining seasoning and cook, stirring frequently, for 5-7 minutes, until softened and slightly charred.|5. Return the chicken to the skillet with the vegetables and toss to combine.|6. Warm the tortillas in a dry skillet or microwave.|7. Serve the sizzling chicken and pepper mixture with the warm tortillas and your favorite toppings.","mexican,chicken,fajitas,weeknight"
Eggplant Parmesan,"A classic Italian casserole with layers of breaded eggplant, marinara sauce, and melted cheese.",20 min,40 min,6,Medium,Vegetarian,"2 medium eggplants, sliced into 1/2-inch rounds|Salt|1 cup all-purpose flour|2 eggs, beaten|1.5 cups Italian breadcrumbs|Olive oil for frying|3 cups marinara sauce|1.5 cups shredded mozzarella cheese|1/2 cup grated Parmesan cheese|Fresh basil for garnish","1. Place the eggplant slices on a baking sheet, sprinkle with salt, and let them sit for 30 minutes to draw out excess moisture. Pat dry with paper towels.|2. Preheat oven to 375°F (190°C). Set up a breading station with three shallow dishes: one with flour, one with beaten eggs, and one with breadcrumbs.|3. Dredge each eggplant slice in flour, then egg, then breadcrumbs, coating completely.|4. Heat about 1/2 inch of olive oil in a large skillet over medium-high heat. Fry the eggplant slices in batches for 2-3 minutes per side until golden brown. Drain on paper towels.|5. Spread a thin layer of marinara sauce in the bottom of a 9x13 inch baking dish. Arrange a single layer of fried eggplant slices on top.|6. Top the eggplant with more marinara sauce, a sprinkle of mozzarella, and a sprinkle of Parmesan.|7. Repeat the layers until all ingredients are used, finishing with a layer of marinara and a generous topping of mozzarella and Parmesan cheeses.|8. Bake for 25-30 minutes, until the sauce is bubbly and the cheese is melted and golden.|9. Let it rest for 10 minutes before serving, garnished with fresh basil.","italian,vegetarian,casserole,comfort food"
Creamy Tuscan Gnocchi,"Pillowy gnocchi in a rich and creamy sun-dried tomato and spinach sauce.",5 min,15 min,4,Easy,Vegetarian,"1 lb package of potato gnocchi|2 tbsp butter|3 cloves garlic, minced|1/2 cup sun-dried tomatoes in oil, drained and chopped|4 cups fresh spinach|1.5 cups heavy cream|1/2 cup grated Parmesan cheese|Salt and pepper to taste|Pinch of red pepper flakes (optional)","1. Cook the gnocchi according to package directions (they are usually done when they float to the top). Drain and set aside.|2. In a large skillet, melt the butter over medium heat. Add the garlic and sun-dried tomatoes and cook for 1 minute until fragrant.|3. Add the spinach to the skillet in batches and cook until it has wilted down.|4. Pour in the heavy cream and bring to a gentle simmer. Let it cook for 2-3 minutes to thicken slightly.|5. Stir in the Parmesan cheese until the sauce is smooth. Season with salt, pepper, and red pepper flakes if using.|6. Add the cooked gnocchi to the skillet and toss to coat in the creamy sauce.|7. Serve immediately.","italian,vegetarian,gnocchi,quick,weeknight"
Cuban Black Bean Soup,"A hearty and flavorful soup with black beans, vegetables, and a hint of citrus.",15 min,40 min,6,Easy,Vegan,"1 tbsp olive oil|1 onion, chopped|1 green bell pepper, chopped|3 cloves garlic, minced|2 (15 oz) cans black beans, undrained|3 cups vegetable broth|1 bay leaf|1 tsp cumin|1/2 tsp dried oregano|Juice of 1 lime|Salt and pepper to taste|Chopped cilantro and sour cream for garnish (optional)","1. Heat olive oil in a large pot or Dutch oven over medium heat. Add the onion and bell pepper and cook until softened, about 5-7 minutes.|2. Stir in the garlic and cook for 1 minute more.|3. Add the undrained black beans, vegetable broth, bay leaf, cumin, and oregano. Bring to a boil.|4. Reduce heat to low, cover, and simmer for at least 20 minutes to allow the flavors to meld.|5. Remove the bay leaf. For a thicker, creamier consistency, use an immersion blender to partially blend the soup, leaving some whole beans for texture.|6. Stir in the lime juice and season with salt and pepper to taste.|7. Serve hot, garnished with fresh cilantro and a dollop of sour cream if desired.","cuban,soup,vegan,healthy,beans"
Korean Beef Bulgogi,"Thinly sliced, marinated beef grilled or pan-fried for a sweet and savory flavor.",30 min,10 min,4,Medium,Beef,"1.5 lbs ribeye or sirloin steak, very thinly sliced|1/2 cup soy sauce|1/4 cup brown sugar|2 tbsp sesame oil|1 small pear or apple, grated|4 cloves garlic, minced|1 inch ginger, minced|2 green onions, sliced|1 tsp black pepper|1 tbsp vegetable oil for cooking|Toasted sesame seeds for garnish","1. In a large bowl, combine the soy sauce, brown sugar, sesame oil, grated pear, garlic, ginger, green onions, and black pepper. Whisk until the sugar is dissolved.|2. Add the thinly sliced beef to the marinade and toss to coat completely. Cover and refrigerate for at least 30 minutes, or up to 4 hours.|3. Heat vegetable oil in a large skillet or on a grill pan over high heat.|4. Cook the beef in a single layer (work in batches) for 1-2 minutes per side, until it's caramelized and cooked through.|5. Garnish with toasted sesame seeds and more green onions.|6. Serve immediately with rice and kimchi.","asian,korean,beef,grill,quick"
Goulash (American Style),"A comforting one-pot meal of ground beef, macaroni, and tomatoes.",10 min,30 min,6,Easy,Beef,"1.5 lbs ground beef|1 large onion, chopped|2 cloves garlic, minced|1 (28 oz) can diced tomatoes, undrained|1 (8 oz) can tomato sauce|2 cups beef broth|1 tbsp Worcestershire sauce|1 tsp paprika|1 tsp Italian seasoning|2 cups elbow macaroni, uncooked|Salt and pepper to taste|Shredded cheddar cheese for serving","1. In a large pot or Dutch oven, brown the ground beef with the onion over medium-high heat. Drain off excess grease.|2. Stir in the garlic and cook for 1 minute.|3. Add the diced tomatoes, tomato sauce, beef broth, Worcestershire sauce, paprika, and Italian seasoning. Stir to combine and bring to a simmer.|4. Stir in the uncooked macaroni. Reduce heat to low, cover, and cook for 15-20 minutes, stirring occasionally, until the macaroni is tender and has absorbed most of the liquid.|5. Season with salt and pepper to taste.|6. Serve hot, topped with shredded cheddar cheese.","american,one-pot,pasta,comfort food,beef"
Simple Fried Rice,"A versatile and quick fried rice that's perfect for using up leftover rice and vegetables.",10 min,10 min,4,Easy,Vegetarian,"3 tbsp vegetable oil, divided|2 large eggs, lightly beaten|1 onion, chopped|1 carrot, diced|1/2 cup frozen peas|3 cloves garlic, minced|4 cups cooked and chilled long-grain rice|3 tbsp soy sauce|1 tsp sesame oil|2 green onions, sliced","1. Heat 1 tablespoon of vegetable oil in a wok or large skillet over medium-high heat. Pour in the beaten eggs and scramble until just cooked. Remove the eggs from the skillet and set aside.|2. Add the remaining 2 tablespoons of oil to the skillet. Add the onion and carrot and stir-fry for 3-4 minutes until softened.|3. Add the frozen peas and garlic and cook for another minute until fragrant.|4. Add the chilled, cooked rice to the skillet. Use a spatula to break up any clumps. Stir-fry for 3-4 minutes, until the rice is heated through.|5. Pour the soy sauce and sesame oil over the rice and toss to combine.|6. Stir in the cooked scrambled eggs and the sliced green onions.|7. Serve immediately. You can add cooked chicken, shrimp, or tofu for extra protein.","asian,chinese,rice,vegetarian,quick,leftovers"
